Param name,Param value,Param stdv,Param p-value,CA,BT,BU,BV,CS,CD,DP,CH,CA*CA,CA*BT,CA*BU,CA*BV,CA*CS,CA*CD,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*BV,BT*CS,BT*CD,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*BV,BU*CS,BU*CD,BU*DP,BU*CH,BV*CA,BV*BT,BV*BU,BV*BV,BV*CS,BV*CD,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*BV,CS*CS,CS*CD,CS*DP,CS*CH,CD*CA,CD*BT,CD*BU,CD*BV,CD*CS,CD*CD,CD*DP,CD*CH,DP*CA,DP*BT,DP*BU,DP*BV,DP*CS,DP*CD,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*BV,CH*CS,CH*CD,CH*DP,CH*CH
CA,0.16338550902183566,0.023404017,2.929022139625817e-12,0.000547748,-1.675953e-05,4.2654204e-07,-0.0001158478,-1.1990684e-05,2.337455e-06,3.2657824e-06,3.7092655e-06,-0.0009298937,-0.00013700056,-5.0507697e-05,-0.00063735613,-0.00067965867,-0.00039096008,-0.00013631792,-0.00036941335,2.7521404e-05,1.296962e-05,1.5595819e-05,-6.350277e-06,-4.574885e-06,1.472859e-05,-1.6314123e-05,2.8545517e-06,0.0021189915,8.3633195e-06,9.776973e-06,1.4583935e-05,1.9976505e-05,-3.341753e-06,-5.3501385e-06,-4.705747e-06,0.00018348196,6.71201e-05,9.617981e-05,0.00012521892,3.7315698e-05,0.00014007883,-9.250456e-05,0.00027165364,-5.1038027e-05,2.1780065e-06,1.0420982e-05,4.687076e-06,1.4485027e-05,5.1498114e-06,-2.0323138e-05,4.519675e-05,5.2391013e-05,3.1720024e-06,-1.3160724e-05,1.9505198e-05,2.8353115e-05,7.221172e-06,-6.8590766e-06,0.00030600908,-0.00063131715,5.6945178e-06,6.102942e-06,-5.1110354e-05,-6.663401e-05,-1.3063033e-05,-5.4678867e-07,6.694649e-05,-2.2342765e-05,-4.061517e-06,-4.7990675e-06,1.685807e-05,-2.343898e-05,5.4892273e-05,-2.7065063e-05,4.035186e-05
BT,0.8137966747771576,0.03725303,8.6509268822273985e-106,-1.675953e-05,0.0013877882,0.00069902325,0.0003088756,6.7216075e-05,9.545758e-05,1.5681617e-05,4.1094627e-05,0.0005895246,2.6917261e-05,0.0009871747,-0.00017419971,-7.2306975e-05,2.4999412e-05,0.00022570378,5.2039513e-06,-0.0012818762,-0.0010232722,-0.0015649042,-0.0005148838,-3.6042442e-05,-0.0010388257,0.0005445356,5.101979e-05,0.0015105604,-0.00038509266,-0.0008341952,-0.000332247,-0.0005852535,-0.00060035405,-0.0002922846,-0.00024153778,3.956853e-05,0.00017457119,-1.0551197e-05,-0.0003207378,-8.949131e-05,-0.00023331176,-0.0002977538,-0.0006727743,5.3262575e-05,2.6441961e-05,-1.1347199e-05,-1.2624423e-05,-0.00014171272,-4.0231884e-05,-7.6784716e-05,-0.00017025643,1.1112314e-05,-0.00011150989,-2.1269787e-05,-2.3167071e-05,3.5208745e-05,-0.00011895126,-1.1485016e-05,-0.00039241702,7.671232e-06,0.00015086732,-1.84411e-05,1.8851044e-05,-1.0104118e-05,-6.2321888e-06,-4.194513e-05,-2.527602e-05,3.0305055e-06,-2.8734098e-06,-5.435163e-07,-4.476317e-05,1.0533336e-05,1.9904186e-05,-2.9684415e-05,-0.00021951688
BU,0.7381644375584332,0.041951306,2.6554601560963357e-69,4.2654204e-07,0.00069902325,0.0017599122,0.0003944202,8.841016e-05,2.5198975e-05,2.5644722e-05,-5.849818e-05,0.0009694079,1.1742055e-05,0.0006758001,-0.00030914988,-0.00017817864,2.5045234e-05,0.00040106388,6.1734754e-06,0.00019442163,-0.00053384755,-5.180819e-05,-4.3955704e-05,-1.5152275e-05,-0.0006742268,-0.00014079436,-0.00017479154,-0.026288603,-0.0009079673,-0.0022289432,-0.0010129383,-0.001385247,-0.0014724106,-0.0006408125,0.00031287063,8.875356e-05,-6.775388e-05,9.967092e-05,-0.0004243197,-0.00019249633,-0.0004013423,-0.00049763476,-0.0007993531,0.00010271108,-3.131951e-05,-1.3541896e-06,-4.5486813e-05,-0.00017510803,-0.00014720118,-5.3299525e-05,-0.00021012043,-1.5782587e-05,-3.2374086e-05,4.768952e-05,-3.5982706e-05,-1.7555654e-05,-2.9698283e-05,-2.0742113e-05,-0.00026125557,-4.0710675e-05,-2.6370812e-05,-7.162009e-05,7.084257e-06,-4.4511635e-05,-8.4451494e-05,-2.6465495e-06,-5.3430787e-05,-7.381176e-05,2.7838701e-05,8.2122744e-05,-3.0169473e-05,7.2809016e-06,0.00011856311,-4.0131734e-05,0.0003667746
BV,0.7580898967549591,0.037604835,2.2268546733870313e-90,-0.0001158478,0.0003088756,0.0003944202,0.0014141237,0.0001338455,0.00010027741,7.0189824e-05,0.0001410426,0.0027272191,2.8991659e-05,0.0014262669,-0.0006806094,-0.00028013776,0.00013011253,0.000113833805,4.7365855e-05,9.24929e-05,-0.00024054854,-0.00013489275,-6.161095e-07,1.09529265e-05,-0.00021899221,4.246997e-05,2.43916e-06,0.0012965152,-0.00018672603,-0.00047795638,-0.00013483292,-0.00037244175,-0.00027506534,-0.0002942728,7.668875e-05,0.00018723815,-0.000998326,-0.00093883846,-0.0015697889,-0.00022672975,-0.0018244006,-0.00016996458,-0.0032186245,4.014219e-05,-4.2582273e-05,-8.1281076e-05,-2.1833703e-06,-0.0002856236,-0.0001654362,-0.00012305233,-0.00028851858,-0.00011249546,-3.5257137e-05,-3.085365e-05,-0.00028633192,-4.1975334e-05,-0.00012224387,-5.983221e-06,-0.00039670535,0.00036144487,-1.9825427e-05,-0.00010613179,2.2869746e-05,7.804845e-05,-1.5108623e-05,-0.0001622235,6.116661e-05,7.0585476e-05,-1.8038754e-05,-9.095604e-05,-0.00026304027,2.2218232e-05,-0.0002489545,0.000111760746,-0.00076367613
CS,0.46228236311681986,0.017775806,4.206342408067427e-149,-1.1990684e-05,6.7216075e-05,8.841016e-05,0.0001338455,0.0003159793,3.281924e-05,4.139171e-05,5.0297804e-05,0.00018760086,1.0399159e-06,0.00011285769,-5.471724e-05,-2.7564169e-05,6.904222e-06,0.00011612474,-9.799962e-07,1.995734e-05,-4.8079386e-05,-2.7049557e-05,-3.535467e-06,-1.8802242e-05,-4.9727678e-05,-1.203366e-05,-1.2198203e-05,0.0017804108,-3.174005e-05,-7.2055525e-05,-3.4832112e-05,-6.6778426e-05,-7.780729e-05,-0.00011232208,-6.824695e-05,-8.127774e-06,-6.609373e-05,-8.8853645e-05,-0.00012688762,-8.770133e-05,-0.00013825363,-9.808381e-05,-0.00019912665,0.00026296763,-0.000151828,-0.00018071255,-0.00021350141,-0.00059940614,-0.0005352516,-0.0005250348,-0.0004336257,8.667391e-06,-4.6461478e-06,-2.0509906e-05,-2.3407407e-05,-0.00013270567,-3.7183927e-05,-7.790861e-06,1.3171481e-05,-6.958565e-05,-2.0445324e-05,-4.6490608e-05,-5.1520357e-05,-0.00010657194,-2.197254e-05,-7.739775e-05,1.1072312e-06,2.7895923e-05,-6.7953365e-06,-3.660363e-05,-2.4722602e-05,-1.844094e-05,-5.5042434e-05,1.6686183e-05,-0.0002316694
CD,0.6599376785585104,0.025637094,4.01158181092696e-146,2.337455e-06,9.545758e-05,2.5198975e-05,0.00010027741,3.281924e-05,0.0006572606,1.3694808e-05,0.00023881863,0.00011459786,-5.877418e-07,0.0001073923,-7.9606376e-05,-2.1324013e-05,-2.94667e-05,0.00021086693,-2.7592627e-05,2.8286679e-05,-7.1045906e-05,-4.2575644e-05,6.1491387e-06,1.3174933e-05,1.3083299e-05,-7.789918e-05,2.182874e-05,0.0003233397,-8.457918e-06,-1.1733517e-05,-2.2341492e-06,-2.1151702e-05,0.00011268633,-3.605498e-05,-0.00011635225,-5.073431e-05,-2.825858e-05,5.8029304e-06,-9.130549e-05,-5.7967485e-05,-3.0387338e-05,-0.00020305789,-0.0004246808,-2.9720344e-05,-7.170902e-07,-1.5785066e-05,-2.3859355e-05,-5.741248e-05,0.00010103532,-5.496721e-05,-9.325158e-05,0.00010529216,-0.00029578555,-0.00031226128,-0.000655209,-0.00063224643,-0.00072205806,-0.00011633454,-0.00533043,-7.034109e-05,-4.0727464e-06,9.11723e-06,-5.3384865e-06,-2.2707913e-05,3.8833652e-05,-2.7049415e-05,-1.8841469e-05,0.0001452117,-5.1713494e-05,-0.00010442768,-0.000386017,-3.2405573e-05,-0.00069700845,5.7496796e-05,-0.00082791585
DP,0.34333463597009356,0.024666311,4.844820658316938e-44,3.2657824e-06,1.5681617e-05,2.5644722e-05,7.0189824e-05,4.139171e-05,1.3694808e-05,0.00060842687,6.667344e-06,-7.428251e-05,7.449036e-06,5.2936008e-05,-1.2043651e-05,-2.0048083e-06,-6.8868903e-06,0.0013124362,8.982302e-06,-2.1965261e-05,-1.0186965e-05,-1.4965026e-05,-1.584019e-06,-1.62134e-06,9.8924005e-08,-8.2250626e-05,-9.0920133e-07,1.9640513e-05,-4.3938803e-06,3.6903011e-06,1.8206478e-05,-2.9363802e-05,3.0008452e-05,2.5805113e-05,-5.1759333e-05,-3.47759e-05,-2.569746e-05,-3.733235e-05,-5.6173852e-05,-7.6142715e-05,-4.6495665e-05,0.00022876918,-6.116104e-05,4.4471002e-05,-6.796891e-06,-2.866694e-05,-2.2175373e-05,-6.996535e-05,-3.6713067e-05,0.0005081123,-3.7205748e-05,1.3978123e-05,-2.742792e-06,-8.4341245e-06,-1.0756139e-05,3.0188567e-05,-4.303679e-06,-2.2769816e-05,-0.00010194685,-0.00015272941,-0.00037052605,-0.0003984584,-0.00058956305,-0.00053742214,-0.0004818055,-0.0010197657,-0.00062681315,1.049363e-05,-2.0797297e-06,1.8898701e-05,-1.8537055e-05,-1.1247354e-05,2.0324216e-05,9.354305e-05,-5.9099377e-05
CH,0.44779655300036453,0.022578739,1.5557536852927723e-87,3.7092655e-06,4.1094627e-05,-5.849818e-05,0.0001410426,5.0297804e-05,0.00023881863,6.667344e-06,0.0005097994,4.62634e-05,-4.1902504e-06,-4.0199964e-05,-7.366079e-05,-2.5802934e-05,5.5814976e-06,0.00024775357,-3.4539367e-05,-1.6291273e-05,-2.7412889e-05,-3.3923494e-05,-1.165249e-05,9.853676e-06,2.251562e-05,-1.9392395e-05,2.0779738e-05,0.00019787131,2.8018429e-05,8.012991e-05,3.354154e-05,8.497336e-05,4.40089e-05,3.917753e-05,-0.00029788422,-6.329689e-05,-6.667317e-05,-4.5555524e-05,-0.000116139134,-8.548533e-05,4.9830364e-06,-0.00041782754,-0.000119706085,-1.1561071e-05,-4.4006015e-06,-4.1349485e-05,-3.482237e-05,-9.0025824e-05,4.7358993e-05,-0.000100600715,1.3133372e-06,-0.00013800083,6.020425e-08,-7.666612e-05,-0.00043093695,0.00014254128,-0.00026041424,-8.911944e-05,0.0016783052,-0.00013438595,3.1324467e-07,-3.9064915e-05,1.5269972e-05,-2.9333838e-05,1.7007605e-05,4.736547e-06,7.622005e-06,0.00027133792,-0.000105739826,-0.00023810769,-0.0004865592,-5.5082637e-05,-0.00051481323,-5.1942145e-05,-0.0019488861
CA*CA,-1.7495882805440384,0.2982661,4.468014773005017e-09,-0.0009298937,0.0005895246,0.0009694079,0.0027272191,0.00018760086,0.00011459786,-7.428251e-05,4.62634e-05,0.088962674,0.00068730453,0.037202526,-0.015150109,-0.015118958,0.0010935172,0.017683227,-0.0032076212,-0.0003529068,-0.00046967348,-4.557597e-05,-3.4759476e-05,-0.00010907869,-0.00048621645,0.00012288179,4.560933e-05,-0.007946177,-0.00037574148,-0.001027646,-0.00040159468,-0.00095675007,-0.0005814572,-0.0006381355,0.00015691965,-0.0054606046,-0.0017816781,-0.0018497315,-0.002949271,0.00028128605,-0.003336194,0.0010904499,-0.0077270824,0.0015733673,-5.0737697e-05,-0.00012694464,0.00014777746,-0.0004242524,-0.00017146276,0.00040439307,-0.00069180777,0.00017609897,-0.00014021788,-7.832881e-06,-0.0006496899,-0.00071180845,-0.00010649822,-6.749637e-05,-0.002668923,0.009019714,-2.5986457e-05,5.5289525e-05,0.0007243909,0.001088032,0.00016128508,-1.1368638e-05,-0.0013699366,0.0013798438,1.1877108e-05,-2.0581538e-05,-0.0005967195,-5.7848527e-05,-0.00063743995,7.17059e-05,8.388804e-05
CA*BT,-0.08243290432040773,0.038032707,0.030202733681540278,-0.00013700056,2.6917261e-05,1.1742055e-05,2.8991659e-05,1.0399159e-06,-5.877418e-07,7.449036e-06,-4.1902504e-06,0.00068730453,0.0014464868,0.00039824107,4.1731597e-05,-1.560043e-05,9.728086e-05,-0.0013642729,0.00013178292,0.0002930664,-2.0503652e-05,-3.892279e-05,-1.455204e-05,1.09385655e-05,-1.756059e-05,-5.1653924e-06,9.967058e-06,-0.0005108886,2.510741e-05,-1.9062796e-05,1.6661611e-06,7.536496e-06,-8.701937e-06,-4.2142983e-06,-4.6058536e-05,-4.899943e-05,-0.00013922097,-6.153007e-06,-2.5540383e-05,-3.9847684e-05,-3.0284791e-05,-3.476116e-05,-4.5592646e-05,3.5099594e-05,-4.8826014e-06,5.256976e-07,-1.1168142e-05,7.5713174e-06,7.752666e-06,-2.2461027e-06,4.272638e-06,-2.388101e-05,3.5157084e-06,4.876776e-06,-7.591401e-06,-8.690406e-06,-1.5072682e-06,3.2480225e-06,-8.0763835e-05,-0.00013529188,7.060499e-05,-1.719801e-05,9.1919055e-06,-2.164397e-05,-8.652421e-06,1.1102898e-05,-0.00012234389,-8.288219e-06,3.75151e-08,8.858795e-06,-7.1174513e-06,-5.275948e-07,-6.5676327e-06,-8.700638e-06,1.43314555e-05
CA*BU,-0.8620530549424824,0.2432865,0.000395054487547336,-5.0507697e-05,0.0009871747,0.0006758001,0.0014262669,0.00011285769,0.0001073923,5.2936008e-05,-4.0199964e-05,0.037202526,0.00039824107,0.059188325,-0.010795155,-0.010156871,0.0012528684,0.022800399,0.0010139915,0.00026531616,-0.0007370191,-0.0007723113,0.00025764218,0.00031812364,-0.0008024545,0.00014614232,-0.0004992095,0.37071288,-0.0004803294,-0.0011250965,0.0024899656,0.0037186122,-0.00092956406,-0.00094871107,-0.004188505,0.00030700484,-0.0006030709,-0.0013127304,-0.0013705958,-0.0031126535,-0.0015938344,0.002188737,-0.0022928345,0.0036738361,-1.6950185e-05,-0.0005706761,-0.001254684,-3.192069e-05,-2.8221598e-06,0.0010128822,0.0016210031,-0.0005879771,-8.697344e-05,2.9928502e-05,-0.0007136772,-0.00057701796,-6.511878e-05,2.3993725e-05,-0.0016626534,0.0026578873,-0.0001110126,-0.00069259346,-0.0003151121,0.0001108455,0.00019064943,0.00017647659,0.0011587436,-0.0003199302,8.024762e-05,-7.155821e-05,-0.00058046763,-0.00034413795,-0.00012178789,0.0005686638,0.00088838354
CA*BV,0.38767833392746714,0.076955974,4.71247945299022e-07,-0.00063735613,-0.00017419971,-0.00030914988,-0.0006806094,-5.471724e-05,-7.9606376e-05,-1.2043651e-05,-7.366079e-05,-0.015150109,4.1731597e-05,-0.010795155,0.005922222,0.0033453074,-4.8203718e-05,-0.008312369,9.583766e-05,4.6274003e-05,0.00013732207,9.416986e-06,1.8562409e-05,5.067027e-05,0.00013792899,4.6688583e-06,-1.990676e-05,-0.0025373457,0.00010639575,0.0003106269,9.680596e-05,0.00031311047,0.00019629387,0.00025268877,-7.487681e-05,-0.00032561028,0.00047247796,0.00052982266,0.0005494143,0.00030861763,0.00077075954,0.00068218063,0.0015837653,-0.0008777362,2.0722237e-05,6.477952e-05,-7.9703255e-05,0.0001908972,7.827784e-05,3.1203675e-05,-1.1844779e-05,0.00019371987,4.022178e-05,2.2015e-05,0.00026791546,6.908618e-05,6.864324e-05,2.5077508e-05,0.0007273644,-0.0007548245,1.1284361e-05,7.58318e-05,-9.67616e-05,-3.9995968e-05,-2.529839e-05,3.7660004e-05,-8.1594095e-05,8.6647924e-07,5.35086e-06,4.2707085e-05,0.00017175465,2.9262117e-05,0.00021022017,-2.8283348e-05,0.00029104852
CA*CS,0.24219792171461432,0.09839248,0.013833844817368794,-0.00067965867,-7.2306975e-05,-0.00017817864,-0.00028013776,-2.7564169e-05,-2.1324013e-05,-2.0048083e-06,-2.5802934e-05,-0.015118958,-1.560043e-05,-0.010156871,0.0033453074,0.00968108,0.00019749382,-0.010214511,0.0005835959,5.5164528e-05,5.838557e-05,-3.566497e-05,2.6821648e-05,1.025103e-05,6.202095e-05,2.2136626e-05,-1.8463257e-05,-0.0045487266,4.9822956e-05,0.00015893973,5.0335268e-05,1.3925772e-05,0.00011984482,0.00017297936,-1.1362089e-05,0.0005709564,0.00017224989,0.00019376565,0.00037258313,-0.0007380418,0.00033251266,0.00019770625,0.0008499266,-0.0019927335,3.9561775e-05,7.442277e-05,0.00011657442,-0.00022762829,7.268003e-05,0.00027701823,7.414533e-05,-4.952175e-05,1.0706375e-05,1.0423936e-05,8.781947e-05,0.0003055327,2.4632718e-06,2.6387745e-05,-0.00029485623,0.0002803241,3.081194e-05,3.2534157e-05,6.564974e-05,-7.6295386e-05,-1.557066e-05,3.0266716e-05,-0.00025069047,2.8121682e-05,9.57364e-06,2.1971007e-05,0.000112993446,0.00013750243,-2.9593411e-06,1.873915e-05,-8.756543e-05
CA*CD,-0.13740451585983823,0.06569517,0.03647907521847275,-0.00039096008,2.4999412e-05,2.5045234e-05,0.00013011253,6.904222e-06,-2.94667e-05,-6.8868903e-06,5.5814976e-06,0.0010935172,9.728086e-05,0.0012528684,-4.8203718e-05,0.00019749382,0.0043158545,0.0022635555,-0.00026044718,-3.0929434e-05,-1.8644365e-05,-4.2330612e-07,6.8822387e-06,-1.9259137e-06,-1.8188275e-05,1.0050343e-05,-5.581002e-06,-0.001292347,-6.3014136e-06,-2.8760058e-05,4.1916946e-06,-2.8508175e-05,-5.244127e-05,-2.3459379e-05,4.198854e-06,1.6291417e-05,-7.5824624e-05,-5.4194723e-05,-0.00012190682,-6.598706e-05,-0.0005682018,0.00016983408,-0.0003532926,0.00035295944,-1.1046799e-06,3.1315403e-06,-4.6545524e-06,-7.5980415e-06,-4.142324e-05,2.1315644e-05,-2.0622329e-05,0.00073702954,3.2364125e-05,-6.292406e-05,9.5478055e-05,0.00024035519,6.8070905e-05,1.571649e-06,0.0020326711,0.00043340243,2.565173e-06,-1.1025795e-05,6.739907e-05,5.061895e-05,-5.352121e-05,2.4557474e-05,-3.8863822e-05,-0.00014513207,-1.5067281e-05,-2.8969615e-05,-3.1151634e-05,-2.4300673e-05,0.0003904642,-9.400681e-05,3.2630148e-06
CA*DP,-1.2171379464697683,0.62074375,0.04990544160243949,-0.00013631792,0.00022570378,0.00040106388,0.000113833805,0.00011612474,0.00021086693,0.0013124362,0.00024775357,0.017683227,-0.0013642729,0.022800399,-0.008312369,-0.010214511,0.0022635555,0.3853228,-0.0039025617,0.00059632305,-0.00018460995,5.6246583e-05,-0.00010596971,-0.00012175958,-0.00019203998,-0.00026348516,0.0001031165,0.007272642,7.180499e-05,-0.00024587844,0.00034449846,-0.00061706005,-0.00012912706,0.00025641304,-0.00061661366,0.0018357388,-0.0004060538,0.00037755806,0.00056387135,0.00059614034,0.00051764963,0.0010341052,-0.0012210801,0.010509635,-0.00012889747,-0.00054783304,0.0005855285,-0.00013087467,-0.00067127857,0.0055676815,0.0011263879,-0.0006084172,-8.5587e-05,-1.2874719e-05,0.00017422989,-8.3895764e-05,-0.00024916496,3.3430802e-05,-0.0042227358,0.040826403,-0.0011019107,-0.005074126,0.00413844,0.0044891136,0.00030789574,-0.0025926104,0.01016925,0.0005166116,-8.167076e-06,-0.000114813185,0.00056369207,0.0008780777,-0.0012116776,0.0013086689,-0.0021411618
CA*CH,-0.07437219783213082,0.09925118,0.45365644542369854,-0.00036941335,5.2039513e-06,6.1734754e-06,4.7365855e-05,-9.799962e-07,-2.7592627e-05,8.982302e-06,-3.4539367e-05,-0.0032076212,0.00013178292,0.0010139915,9.583766e-05,0.0005835959,-0.00026044718,-0.0039025617,0.009850796,-5.3849344e-05,-2.3358066e-06,-3.7763973e-06,1.3419001e-05,-1.4782319e-06,-1.6661015e-05,8.432848e-06,-4.112591e-05,-0.0015234166,5.6020156e-07,2.028077e-06,3.640577e-05,7.0624938e-06,-3.1227984e-05,8.344578e-05,-0.00018150391,0.00010014331,-1.6631282e-05,-8.338786e-06,2.7290946e-05,-0.00019774711,-0.000114974784,0.00027451973,-0.0012388612,-0.00042161223,8.06849e-06,3.857681e-05,-1.9095594e-05,6.656474e-05,2.464405e-05,9.2396185e-06,-0.0005003301,0.0004920555,-7.0155966e-06,-6.267043e-05,0.00015055946,2.58395e-06,2.8163526e-05,-3.751692e-05,0.00033450473,-0.0010905428,-2.0642387e-05,3.3633783e-05,-5.2477342e-05,-5.912468e-05,-3.7122023e-05,-1.9406714e-05,0.00012558991,0.0010052331,-5.1813794e-07,-4.9738876e-05,6.287363e-05,3.5433732e-06,3.054679e-05,-1.8859375e-05,0.00036954583
BT*CA,-0.007997831319796839,0.6759495,0.9905596540750075,2.7521404e-05,-0.0012818762,0.00019442163,9.24929e-05,1.995734e-05,2.8286679e-05,-2.1965261e-05,-1.6291273e-05,-0.0003529068,0.0002930664,0.00026531616,4.6274003e-05,5.5164528e-05,-3.0929434e-05,0.00059632305,-5.3849344e-05,0.45690775,-0.0002571194,0.003422697,-0.0011055538,-0.0030550794,0.0006091976,-0.00073309976,0.0013076757,0.015392707,-0.00038321657,-0.00030645693,-3.7808426e-05,-0.00034938243,-8.370372e-05,-9.015565e-05,0.00033936428,0.00015841289,0.0003022964,-2.540755e-05,-0.0001586471,0.00064828986,-6.7234236e-05,0.00035206444,-0.00055476767,0.0004930136,0.0001383667,-1.5107362e-05,0.00013892373,-0.00011875924,-3.3047483e-05,0.000117400545,-0.00024911758,3.4630277e-05,-2.4389908e-06,-1.0476373e-05,5.6771543e-05,8.314788e-05,-6.966955e-05,2.9693845e-05,-0.00034208395,0.00055514596,-0.000190338,0.00014080982,-2.7203496e-05,0.00032596293,-3.1130344e-06,-0.00010899145,0.000103075596,6.38704e-05,-5.7121033e-06,1.3420412e-05,3.1041498e-05,5.1971347e-05,2.6557063e-05,2.4813779e-05,-3.8434555e-05
