Param name,Param value,Param stdv,Param p-value,BT,BV,CD,CH,BU,CS,CA,DP,BT*BT,BT*BV,BT*CD,BT*CH,BT*BU,BT*CS,BT*CA,BT*DP,BV*BT,BV*BV,BV*CD,BV*CH,BV*BU,BV*CS,BV*CA,BV*DP,CD*BT,CD*BV,CD*CD,CD*CH,CD*BU,CD*CS,CD*CA,CD*DP,CH*BT,CH*BV,CH*CD,CH*CH,CH*BU,CH*CS,CH*CA,CH*DP,BU*BT,BU*BV,BU*CD,BU*CH,BU*BU,BU*CS,BU*CA,BU*DP,CS*BT,CS*BV,CS*CD,CS*CH,CS*BU,CS*CS,CS*CA,CS*DP,CA*BT,CA*BV,CA*CD,CA*CH,CA*BU,CA*CS,CA*CA,CA*DP,DP*BT,DP*BV,DP*CD,DP*CH,DP*BU,DP*CS,DP*CA,DP*DP
BT,0.7168826549111929,0.04283478,7.16505181260992e-63,0.0018348185,-7.1903887e-06,-0.00019173355,0.0007637095,0.00039603724,-3.2721502e-05,-0.0007456319,1.8034563e-05,-0.001469819,-0.0014010153,-0.00046308083,-0.00030628088,-0.0024442843,0.0014973637,-0.0009797823,-0.00012180123,0.00056974957,-9.861545e-06,0.00031018606,0.00038974945,6.9313464e-05,4.121605e-05,-0.00015756593,0.00010277635,0.00014442569,0.00021835601,0.00034469325,0.0014367966,1.7961915e-05,-3.7648155e-05,-0.00016101198,0.00033218705,-0.0003338393,-0.0003697391,-0.0013008172,-0.0027701822,-2.2471922e-05,-4.636262e-05,0.002002072,-0.0017039174,-0.00044077152,-0.00048294634,0.00013517949,-0.00021266937,-0.0003405041,-1.0603364e-05,0.00039552944,4.4572538e-05,7.4237985e-05,5.9613547e-05,-8.230597e-05,2.7394324e-05,-3.0026798e-05,5.5687502e-05,1.0685467e-05,-0.0008879893,0.00014254618,0.006793912,0.0018018861,-0.0025298817,-0.00047566005,0.008120345,-0.019993043,-0.0042215427,0.00065582094,-3.8603193e-06,0.000115007606,-0.0015769239,-0.00028756683,-2.2523647e-05,0.0017520015,-0.000107981956
BV,0.9731726136400303,0.044340942,9.150624194493777e-107,-7.1903887e-06,0.0019661193,0.000144761,0.0001641252,0.00010681309,4.8278613e-05,-5.169194e-05,-8.502503e-06,8.709405e-06,-0.00024933004,2.5526225e-07,-0.00017779495,-1.3590493e-06,-3.2530646e-05,0.0004889188,0.00016403758,-0.0011937332,-0.0015721737,-0.002042529,-0.0010931764,-0.0010956277,-0.00029927542,-9.970182e-05,-0.00028524137,-7.364979e-05,3.9704668e-05,-0.0002923723,0.00010179644,6.233998e-05,-3.7886504e-05,-0.00025262436,8.9742745e-05,-4.929618e-05,-0.00020843443,-0.00023059461,-0.00060609594,-2.2230772e-05,9.0175e-06,-0.0016879484,-0.0009414595,-2.8310911e-05,0.00046306156,-5.12324e-06,3.145134e-05,-0.00010787657,3.8627372e-06,-0.0017002112,-2.5505685e-06,-7.634976e-06,0.0001966313,-7.833997e-05,1.1756343e-05,-1.283977e-06,-8.312931e-05,-6.3308216e-05,0.00031783784,-0.00015541246,-0.0064107943,-0.0010860709,0.00049448304,0.00014239953,-0.0057731713,0.020666478,0.0029421533,-0.00019605743,-5.1445422e-05,2.938444e-05,6.424626e-05,-9.0416215e-05,3.3981574e-05,-0.0014068488,4.4664674e-05
CD,0.8575963972063881,0.098959215,4.469384929357873e-18,-0.00019173355,0.000144761,0.009792927,0.003097946,-4.096189e-05,0.00012102446,7.507821e-05,-1.1787686e-05,0.00013991156,0.0011745706,-0.0004390448,0.001256198,0.00043626275,5.9037506e-05,0.004929589,-0.00070707983,0.00046790778,-0.000117324584,8.300254e-05,0.00034576448,0.00044433915,3.1334515e-05,-0.00014506117,0.0002456262,-0.003394158,-0.0007173524,-0.019443931,-0.017036851,0.0001030733,-0.0012908509,0.0017001287,-0.017354174,-0.0008070397,0.0024877808,-0.0017746637,-0.012306252,-5.6177752e-05,-7.762885e-06,-0.012829336,-0.0050919857,0.00013372584,0.0001926915,0.0014721657,-0.0012439819,-1.3489e-05,1.0556856e-05,-0.0013844541,-1.5418163e-05,0.00011750631,7.443035e-05,0.0011200345,6.06789e-05,0.0001328005,-0.00021112624,0.00011784169,0.00086910493,0.0009910155,0.0014846522,-0.00213057,0.0063350834,0.00021561829,-0.00052736385,-0.0015255583,-0.001851043,0.0007867397,-8.195927e-06,-7.4333293e-06,-0.0074044107,9.433207e-05,6.612888e-05,0.006726497,3.490874e-05
CH,0.6032563957771222,0.068648204,1.5272081451766959e-18,0.0007637095,0.0001641252,0.003097946,0.004712576,-0.00017774291,-8.910952e-06,0.0010569935,-1.5698115e-05,-0.000669711,-0.00032761612,-0.00018046681,-6.009537e-05,-0.00016152284,0.0012772961,-0.0017302409,-0.00079594326,0.0002485491,-0.00012279015,-3.530693e-05,0.0006817732,-0.0005142243,-1.7896715e-05,-0.00024516662,-0.00033435892,-0.0008396329,0.0001927327,-0.0063193254,-0.005916188,0.00038269788,0.00038575524,0.00051853823,-0.0055333544,-0.0010206075,0.0009026062,-0.008621061,-0.017654024,-0.00015293452,-0.000293349,-0.001295788,-0.007899107,0.00017050511,-0.00037578982,0.00034641384,-0.0031701343,0.00018872971,-2.8988636e-05,0.0007745742,-3.240018e-05,3.231482e-05,-6.424333e-06,0.00032700377,-9.183211e-06,6.112877e-05,1.91888e-05,8.343032e-05,0.0009707809,0.00023497145,0.005799666,-0.0019448762,0.0022758155,6.867098e-05,0.004527451,-0.024923135,-0.0045171883,0.00085218716,-1.1707636e-05,-4.907108e-05,-0.011441492,6.0024224e-05,1.5224653e-05,-0.0019845685,0.00011982997
BU,0.7746629977275983,0.03611553,4.607857248309015e-102,0.00039603724,0.00010681309,-4.096189e-05,-0.00017774291,0.0013043316,-1.4856182e-05,0.00012664698,-9.1057795e-05,-0.00033895922,-0.000101943435,-3.704679e-05,-8.249378e-05,0.00011914686,0.000588758,-0.0013829842,-0.0014994137,8.9670924e-05,-8.1697064e-05,-4.453426e-05,-1.7118233e-05,4.609232e-05,-3.6923186e-06,-0.000113195856,-0.00018134671,2.4083196e-05,-4.288885e-05,0.00012219114,-0.00019838974,-4.3861415e-05,-8.902835e-06,0.00017512777,-0.00048400214,7.801658e-05,0.00010344729,0.00034382875,0.00064020074,1.5201613e-05,-1.355738e-06,0.00050624105,0.00032135373,-0.000632176,-0.0013034142,-0.0015382644,-0.00083167135,-0.001033948,-0.00019065676,0.0015526387,0.00014395842,1.3186725e-05,1.7806096e-05,3.260831e-05,3.0868666e-06,-2.4603614e-05,2.4157962e-05,1.8669949e-05,-0.0005730374,5.2796377e-06,0.0009298108,2.244226e-05,-0.00015557013,3.0729243e-05,0.000860984,-0.0043105865,-0.0011615434,0.0005303516,-2.1255819e-05,4.188464e-05,0.00055669306,-0.0015921523,2.602273e-05,0.0041956687,0.00054919167
CS,0.47366750662916995,0.019582553,2.9583056046623084e-129,-3.2721502e-05,4.8278613e-05,0.00012102446,-8.910952e-06,-1.4856182e-05,0.00038347635,-0.00034770937,4.743142e-06,2.740152e-05,-5.3307373e-05,-2.1397293e-06,1.1019382e-06,-1.8834697e-05,-0.00039014115,0.0006373255,-0.00027148752,-3.9973627e-05,-3.8146376e-05,-3.2574753e-05,-6.968798e-06,-6.0845618e-05,-1.0634839e-05,-7.881988e-05,-3.344924e-05,-6.250661e-05,2.2948882e-06,-0.00021956052,-0.0002357707,-2.4582292e-05,-7.1248076e-05,-0.00020217466,-0.00027262905,-1.7991599e-05,-3.0273046e-05,5.860302e-05,4.0640345e-05,-1.6982518e-06,-1.9399295e-06,0.00042173202,8.170521e-05,-1.1619192e-06,8.558026e-06,2.191583e-05,1.659993e-05,1.3654974e-05,6.917248e-06,9.459747e-05,4.3400314e-06,-0.00012730346,-0.0003432356,-0.00070985954,-0.00023082296,-0.00015685597,-0.00059655623,5.9904974e-05,-0.003031978,8.020733e-05,5.536008e-05,0.0006331719,0.0014099347,2.1738508e-05,-0.0013727583,0.0018335994,8.398511e-05,-2.9007346e-05,-5.645794e-06,-1.11440495e-05,-7.8023986e-05,1.8144525e-05,-2.0874175e-05,0.00039811392,-2.364795e-05
CA,-0.11818092044272589,0.15416153,0.4433167009229516,-0.0007456319,-5.169194e-05,7.507821e-05,0.0010569935,0.00012664698,-0.00034770937,0.023765778,0.00011293271,0.00078667206,0.0023812968,0.0004014945,-0.00010294042,0.00035441594,-0.002702953,-0.006636151,0.0027223018,-0.00042032072,-4.9537943e-05,0.00086005504,0.00067090103,2.9934408e-05,0.00024830995,-0.0009792488,0.0016687026,-9.596093e-05,0.00060799404,-0.0005048958,0.00013564173,-0.00031038708,0.00062409975,0.00069019943,0.00054182013,-8.571535e-05,-0.00069177925,-0.002674845,-0.0036389441,6.865475e-05,-6.361114e-05,-0.000921903,-0.0020393045,-0.00017529972,-0.00074902223,-0.00089762046,-0.0001722378,-4.345569e-05,3.2825483e-06,0.002936607,3.3789987e-05,0.00017115838,0.00030437484,0.0007147306,9.152543e-05,5.745943e-05,0.00055441435,0.00030750642,-0.001095837,-0.011205804,-0.06958216,-0.044643175,-0.0078285765,-0.0009278763,-0.1222189,0.19987987,0.0019704557,0.0010914858,-0.00012740196,-0.00034571392,-0.0027513918,-0.00013870241,-0.0002172312,0.018541565,-0.00027990722
DP,0.2530173476528769,0.01242529,3.5542078438647625e-92,1.8034563e-05,-8.502503e-06,-1.1787686e-05,-1.5698115e-05,-9.1057795e-05,4.743142e-06,0.00011293271,0.00015438785,-1.4092447e-05,-1.9019135e-05,9.005235e-06,-2.0947662e-05,-2.7647335e-05,1.3017716e-05,-6.782839e-05,7.319228e-05,-2.2690645e-06,5.1464203e-06,1.2950197e-05,-2.0198258e-06,-9.381598e-06,1.087513e-06,-7.453346e-07,0.00012568464,5.9441613e-06,7.4166514e-06,1.549054e-05,-1.7489978e-06,7.998243e-06,6.0400675e-06,-2.4974534e-05,0.0002959212,5.6695917e-06,-3.806714e-07,-3.4110133e-06,6.260177e-05,2.4780778e-07,7.432126e-07,-4.868858e-06,0.00038463276,5.330632e-05,9.014898e-05,8.214684e-05,7.297297e-05,7.648271e-05,1.0844913e-05,-8.782909e-05,0.00011772807,-3.0134727e-06,-1.10295405e-05,-6.1154783e-06,-1.5149213e-05,-8.525206e-06,-5.3529457e-06,2.0392142e-06,0.0012812723,-6.134419e-05,-0.00029918304,-0.00012152075,-0.0004078186,-3.276695e-05,-0.0005657038,0.000822843,-1.00617035e-05,-9.008164e-05,-3.4608463e-05,-0.0001977332,-0.00077085407,0.00023635731,-0.00010523011,-0.000989613,-0.00064980687
BT*BT,-0.573851996383037,0.039950706,8.705246577363035e-47,-0.001469819,8.709405e-06,0.00013991156,-0.000669711,-0.00033895922,2.740152e-05,0.00078667206,-1.4092447e-05,0.001596059,0.00090907287,0.00015113567,-0.00045758512,0.0015952463,-0.0027796188,0.00091842783,0.0010367874,-0.00034471578,1.0681519e-05,-0.0002957889,-0.00037864572,-0.00018083963,-5.644525e-05,0.00012225466,-0.000111883644,-0.00015212165,-0.00019799182,-0.00024745424,-0.0010098324,-2.2574293e-05,2.3020088e-05,0.00013138854,-0.0003110049,0.00026435303,0.00028721153,0.0012071268,0.0024297063,2.443416e-05,4.040381e-05,-0.0018646613,0.0015180302,0.00047019933,0.0003486263,-7.396578e-05,-9.656542e-05,0.00029664946,-6.7575666e-06,-0.0007885849,-3.7025864e-05,-6.792533e-05,-4.339128e-05,5.6116492e-05,-1.5741605e-05,2.8750794e-05,-4.6240064e-05,1.7597566e-06,0.0008284095,-6.602711e-05,-0.00621776,-0.0019131798,0.0019497056,0.0003133402,-0.0078986185,0.018275397,0.0033750993,-0.00045373506,1.5890311e-06,-8.833388e-05,0.0013108312,0.00024061347,1.6943268e-05,-0.0028485418,8.865541e-05
BT*BV,0.20340083599511333,0.117607325,0.08372121737426112,-0.0014010153,-0.00024933004,0.0011745706,-0.00032761612,-0.000101943435,-5.3307373e-05,0.0023812968,-1.9019135e-05,0.00090907287,0.013831483,0.00037965924,-0.008444761,0.002355945,0.003249839,-0.012428747,0.0035748999,0.001322852,0.0002494993,-0.00026443327,-0.001139333,0.0025190578,-0.0005558125,8.9567555e-05,-0.0010870243,-0.0003306972,-0.0004636033,-0.0023798975,-0.007779023,0.00038402466,0.00032427564,0.0009994054,0.0006586571,0.0006046986,0.003271926,-0.00080183614,0.0004850593,-7.5017095e-05,8.4168525e-05,-0.0057461397,-0.0018041311,0.00019463581,0.004306988,-0.0012657561,0.0036112661,-7.1916074e-05,-6.412178e-05,-0.004522686,4.4424705e-05,-4.3388434e-05,-0.00039943476,0.0006230114,-0.00012364252,0.00014908561,8.826556e-05,0.0001315289,0.003844576,-0.00063153997,-0.003414808,-0.001311697,-0.0064420193,0.0004232567,-0.008162276,-0.00020070277,0.01179701,0.0004311814,0.00028586652,-0.00031410283,0.0041401726,5.9749967e-05,5.4802407e-05,0.00061888725,0.000114563176
BT*CD,-0.01732439033234091,0.060826212,0.7757837041374027,-0.00046308083,2.5526225e-07,-0.0004390448,-0.00018046681,-3.704679e-05,-2.1397293e-06,0.0004014945,9.005235e-06,0.00015113567,0.00037965924,0.0036998282,0.00069453684,9.410101e-06,0.0011644464,-0.009412649,-0.0004654996,3.915407e-05,6.407896e-06,-4.920356e-05,-4.2561966e-05,-0.00022240204,-1.2384039e-05,4.1358304e-05,-0.00018256517,-5.018585e-05,-9.910606e-05,0.0009442544,0.0018026931,1.5607206e-05,-0.00019309908,-0.00011056427,-3.3139797e-05,-3.6270747e-05,-0.0002158285,0.00078895,0.0006361678,-7.8889013e-07,-4.851747e-06,-0.0011773022,0.0006435546,4.499018e-05,-0.00014298523,0.0008137682,-0.00047576526,-5.050288e-06,-1.6411524e-05,-0.0015232356,1.0708452e-05,-3.9834566e-05,4.5678982e-05,-0.00017750183,5.040804e-05,8.889068e-06,5.4004026e-06,3.177405e-05,0.0005644603,0.00024152444,-0.0009951533,-0.0012929459,0.0019563504,-4.082676e-05,-0.0022067148,0.0020797988,-0.0035525267,0.0005640183,4.156909e-06,0.00013070143,-6.615436e-05,8.2624e-05,-5.738259e-06,-0.0088101765,-5.429111e-05
BT*CH,0.25256479378309143,0.2625789,0.33611869287677243,-0.00030628088,-0.00017779495,0.001256198,-6.009537e-05,-8.249378e-05,1.1019382e-06,-0.00010294042,-2.0947662e-05,-0.00045758512,-0.008444761,0.00069453684,0.06894768,-0.004911353,-0.00033217284,-0.022852862,-0.04935916,-0.0009338853,9.365376e-05,0.0002621337,0.0014238695,0.00086268014,9.302594e-05,0.00041911373,0.00066658034,-0.00042511823,0.00014066849,-0.0025526695,-0.008286576,-1.1507687e-05,0.0001704179,0.0010240821,0.00042431266,7.534208e-05,0.0010985954,-0.0014113489,-0.00017925404,-1.327677e-05,0.00012972258,0.0031313233,-0.0009482659,-0.00012158007,0.0010185731,-0.00085873704,0.008623495,-9.101931e-05,7.182483e-05,-0.001833998,-1.7863154e-05,-8.8720175e-05,-0.00033918826,0.0003893423,-0.00051630376,-0.00016779493,4.4514534e-05,-2.930122e-05,-0.0037884403,-0.00096573844,-0.0034024287,0.0010332621,0.030760814,-0.0013885695,-0.0032948072,0.007687586,0.0014035021,0.0016813456,5.134994e-05,-0.0003215454,0.0023922147,0.00019341912,-9.010052e-05,0.022165345,7.6335324e-05
BT*BU,-0.23035793597289364,0.14009386,0.10011189580039032,-0.0024442843,-1.3590493e-06,0.00043626275,-0.00016152284,0.00011914686,-1.8834697e-05,0.00035441594,-2.7647335e-05,0.0015952463,0.002355945,9.410101e-06,-0.004911353,0.01962629,-0.0031973647,-0.023704134,-0.057690468,-0.00050597196,-2.3471567e-07,-0.0005898502,-0.00024799883,0.00095726555,0.00015522198,-0.00024063289,0.00014268908,-0.00015261017,-3.6586272e-05,-0.0010178539,-0.0013730982,0.0001094575,0.0003657993,0.00019752144,-0.00060892093,-0.0001073123,-0.00022995296,2.3827637e-05,0.00081882597,-3.7071626e-05,-4.0324354e-05,0.005421054,0.00044515196,0.002167414,-0.00013438039,-0.0012790153,-0.0023731908,0.000106653766,-0.00024518656,-0.0033743156,-4.1294385e-05,2.3874367e-05,6.567014e-05,0.00018942618,5.162642e-06,-3.64435e-05,2.679264e-05,4.225832e-05,-0.0009079817,-0.00052387133,-0.0039319745,-0.0015624061,0.0023470973,0.002738424,-0.0038832289,0.010102609,0.002025366,0.00040457625,-5.8231464e-05,-8.004256e-05,5.7016005e-05,-0.00033423502,-6.6234898e-06,0.024131143,0.00016471476
BT*CS,0.9833069673756477,0.30322835,0.0011836389746272041,0.0014973637,-3.2530646e-05,5.9037506e-05,0.0012772961,0.000588758,-0.00039014115,-0.002702953,1.3017716e-05,-0.0027796188,0.003249839,0.0011644464,-0.00033217284,-0.0031973647,0.09194744,-0.089366466,-0.037178162,-0.00021607854,2.8732939e-05,0.0002488708,0.00086419313,0.0005615987,0.00011191156,-4.1123396e-05,0.0003086151,0.00015492477,0.00039626085,-2.0129604e-05,-0.0020384355,9.521638e-05,0.00011213205,0.00037276663,0.0012508949,-0.00027862017,-0.00010902834,-0.0032346188,-0.0045855753,-6.219682e-05,-2.7642065e-05,0.0019387907,-0.0028177868,-0.00077852583,-0.00078162225,-0.001147632,0.0020130477,-0.0005225985,0.00051287154,0.0061836913,3.3251195e-05,-0.00054292625,0.00044069887,0.0012365846,0.000437724,0.00029145757,0.000530446,-0.00014309309,0.0024930555,0.0023637733,0.013674334,0.0037988047,-0.0061199414,0.0008847787,0.03144677,-0.047670975,-0.008965229,0.001428228,3.1783486e-06,8.125053e-06,-0.0016540951,-0.00036716473,0.0001260575,-0.011061766,-0.00012313477
BT*CA,-2.3963407049032543,0.7636568,0.0017011575812690928,-0.0009797823,0.0004889188,0.004929589,-0.0017302409,-0.0013829842,0.0006373255,-0.006636151,-6.782839e-05,0.00091842783,-0.012428747,-0.009412649,-0.022852862,-0.023704134,-0.089366466,0.58317167,0.09976893,0.0012667204,-0.0009745854,0.005958009,0.00090809877,-0.0039066267,0.0018521465,0.001336739,0.0058920668,-0.0019069824,0.0022349528,-0.011795535,-0.016618388,-0.0004917888,-0.0004979362,-0.0078050634,0.0005398064,0.0006838376,-0.005533364,0.0005495558,0.008946069,0.0004895298,-0.00046987672,0.009283799,0.002964896,0.0011632683,-0.0053710747,0.0012124944,-0.0067270226,0.0011836899,0.0010772713,0.09404763,-0.00034131506,-0.0004207959,-0.000975231,-0.0033624673,-0.0011636099,-0.0010617058,-0.00090377155,-0.0026664638,-0.0036650621,0.013587902,-0.01459825,0.040396545,-0.05354926,-0.0028445176,-0.0062124887,0.1563084,0.009556519,-0.014285641,-0.000613849,-0.0010770853,-0.0016446577,0.0008988795,0.00013125272,0.18026008,0.0006553078
BT*DP,-1.3058182755083683,0.9877262,0.18615324212861462,-0.00012180123,0.00016403758,-0.00070707983,-0.00079594326,-0.0014994137,-0.00027148752,0.0027223018,7.319228e-05,0.0010367874,0.0035748999,-0.0004654996,-0.04935916,-0.057690468,-0.037178162,0.09976893,0.97560304,0.0039576115,-0.00025632716,0.00014051162,0.0017183112,-0.0012469155,0.00026667197,0.00023851093,0.005477701,0.00045398402,0.0007114014,0.0018225214,0.013824915,-0.0026356017,-0.00037635752,0.0036805654,-0.009777243,0.0015548593,-0.005293072,0.0044788807,0.0036457025,0.00018775911,0.0007220223,-0.005372314,0.0147028165,-0.002461314,-0.0014797634,0.0019400431,0.037537426,0.0007652398,0.001488143,-0.008903248,0.0002643112,0.0012748243,0.0005370609,0.0009672558,0.001092843,0.0006083536,0.00032303153,0.000771985,-0.0070426688,-0.0036195545,-0.0019614904,-0.022928555,0.0270311,-0.0005227171,-0.014984185,0.018750256,0.10884695,0.034675833,-0.00053468597,9.647817e-05,-0.004821749,0.0022108315,0.00014847564,0.12892489,-0.000608319
BV*BT,-0.6640088509275903,0.082812585,1.0729562723117187e-15,0.00056974957,-0.0011937332,0.00046790778,0.0002485491,8.9670924e-05,-3.9973627e-05,-0.00042032072,-2.2690645e-06,-0.00034471578,0.001322852,3.915407e-05,-0.0009338853,-0.00050597196,-0.00021607854,0.0012667204,0.0039576115,0.0068579237,0.001058785,-0.00016050009,-0.001773477,-0.0010741481,-0.0011209027,-0.0005000591,2.4398067e-05,0.0001324888,-0.00021068235,-0.0011352182,-0.0033062445,0.00012814328,0.0004072116,-0.00049220875,0.0001782095,-6.807109e-05,0.0007362723,-0.0014083923,-0.00089951773,-5.847005e-05,-2.9125558e-05,-0.00013508524,-0.0010011458,0.00063796714,-0.0005750984,-0.00043173795,0.0013555879,-0.000115471244,1.6752942e-06,-0.00089212065,2.0434718e-05,0.0001571072,-0.00017667092,0.00035006553,6.450944e-05,7.778563e-05,4.908804e-05,0.00010776207,0.00047518584,-0.0016155296,0.0072799595,0.0034752784,-0.008760388,0.0009863507,0.008306806,-0.023690416,0.0038126372,0.000959992,4.8143833e-05,-0.000102591956,-0.0001713755,-9.401041e-05,8.009052e-06,-0.0040524607,3.305472e-05
